2025-06-21 09:48:05 | ERROR | app.main:lifespan:52 | Failed to initialize database: (psycopg2.OperationalError) connection to server at "localhost" (::1), port 5432 failed: Connection refused
	Is the server running on that host and accepting TCP/IP connections?
connection to server at "localhost" (127.0.0.1), port 5432 failed: Connection refused
	Is the server running on that host and accepting TCP/IP connections?

(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-06-21 09:48:10 | ERROR | app.main:lifespan:52 | Failed to initialize database: (psycopg2.OperationalError) connection to server at "localhost" (::1), port 5432 failed: Connection refused
	Is the server running on that host and accepting TCP/IP connections?
connection to server at "localhost" (127.0.0.1), port 5432 failed: Connection refused
	Is the server running on that host and accepting TCP/IP connections?

(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-06-21 09:48:12 | ERROR | app.main:lifespan:52 | Failed to initialize database: (psycopg2.OperationalError) connection to server at "localhost" (::1), port 5432 failed: Connection refused
	Is the server running on that host and accepting TCP/IP connections?
connection to server at "localhost" (127.0.0.1), port 5432 failed: Connection refused
	Is the server running on that host and accepting TCP/IP connections?

(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-06-21 11:42:52 | INFO | app.main:log_requests:145 | POST /api/v1/auth/login - 401
2025-06-21 11:42:58 | INFO | app.main:log_requests:143 | POST /api/v1/auth/login
2025-06-21 11:42:58 | ERROR | app.main:http_exception_handler:87 | HTTP Exception: 401 - Incorrect username or password
2025-06-21 11:42:58 | INFO | app.main:log_requests:145 | POST /api/v1/auth/login - 401
2025-06-21 11:43:21 | INFO | app.main:log_requests:143 | POST /api/v1/auth/login
2025-06-21 11:43:21 | INFO | app.main:log_requests:145 | POST /api/v1/auth/login - 422
2025-06-21 11:43:42 | INFO | app.main:log_requests:143 | POST /api/v1/auth/register
2025-06-21 11:43:43 | INFO | app.main:log_requests:145 | POST /api/v1/auth/register - 201
2025-06-21 11:43:50 | INFO | app.main:log_requests:143 | POST /api/v1/auth/register
2025-06-21 11:43:50 | ERROR | app.main:http_exception_handler:87 | HTTP Exception: 400 - Username already registered
2025-06-21 11:43:50 | INFO | app.main:log_requests:145 | POST /api/v1/auth/register - 400
2025-06-21 11:44:01 | INFO | app.main:log_requests:143 | POST /api/v1/auth/login
2025-06-21 11:44:01 | INFO | app.main:log_requests:145 | POST /api/v1/auth/login - 200
2025-06-21 11:44:11 | INFO | app.main:log_requests:143 | POST /api/v1/auth/login
2025-06-21 11:44:12 | INFO | app.main:log_requests:145 | POST /api/v1/auth/login - 200
2025-06-21 11:44:59 | INFO | app.main:log_requests:143 | POST /api/v1/transactions/
2025-06-21 11:44:59 | INFO | app.main:log_requests:145 | POST /api/v1/transactions/ - 201
2025-06-21 11:45:23 | INFO | app.main:log_requests:143 | GET /api/v1/transactions/summary/period
2025-06-21 11:45:23 | INFO | app.main:log_requests:145 | GET /api/v1/transactions/summary/period - 200
2025-06-21 11:45:55 | INFO | app.main:log_requests:143 | GET /api/v1/analytics/currency/convert
2025-06-21 11:45:56 | INFO | app.main:log_requests:145 | GET /api/v1/analytics/currency/convert - 200
2025-06-21 11:46:55 | INFO | app.main:log_requests:143 | GET /api/v1/transactions/
2025-06-21 11:46:55 | ERROR | app.main:http_exception_handler:87 | HTTP Exception: 401 - Could not validate credentials
2025-06-21 11:46:55 | INFO | app.main:log_requests:145 | GET /api/v1/transactions/ - 401
2025-06-21 11:47:10 | INFO | app.main:log_requests:143 | GET /api/v1/transactions/
2025-06-21 11:47:10 | ERROR | app.main:http_exception_handler:87 | HTTP Exception: 401 - Could not validate credentials
2025-06-21 11:47:10 | INFO | app.main:log_requests:145 | GET /api/v1/transactions/ - 401
2025-06-21 11:47:43 | INFO | app.main:log_requests:143 | GET /api/v1/transactions/
2025-06-21 11:47:43 | ERROR | app.main:http_exception_handler:87 | HTTP Exception: 401 - Could not validate credentials
2025-06-21 11:47:43 | INFO | app.main:log_requests:145 | GET /api/v1/transactions/ - 401
2025-06-21 11:47:45 | INFO | app.main:log_requests:143 | GET /api/v1/transactions/
2025-06-21 11:47:45 | ERROR | app.main:http_exception_handler:87 | HTTP Exception: 401 - Could not validate credentials
2025-06-21 11:47:45 | INFO | app.main:log_requests:145 | GET /api/v1/transactions/ - 401
2025-06-21 11:48:02 | INFO | app.main:log_requests:143 | POST /api/v1/auth/login
2025-06-21 11:48:02 | INFO | app.main:log_requests:145 | POST /api/v1/auth/login - 200
2025-06-21 11:48:13 | INFO | app.main:log_requests:143 | POST /api/v1/auth/login
2025-06-21 11:48:13 | INFO | app.main:log_requests:145 | POST /api/v1/auth/login - 200
2025-06-21 11:48:44 | INFO | app.main:log_requests:143 | GET /api/v1/transactions/
2025-06-21 11:48:44 | INFO | app.main:log_requests:145 | GET /api/v1/transactions/ - 200
2025-06-21 12:07:33 | INFO | app.main:log_requests:143 | GET /api/v1/transactions/1
2025-06-21 12:07:33 | INFO | app.main:log_requests:145 | GET /api/v1/transactions/1 - 200
2025-06-21 12:07:58 | INFO | app.main:log_requests:143 | PUT /api/v1/transactions/1
2025-06-21 12:07:58 | INFO | app.main:log_requests:145 | PUT /api/v1/transactions/1 - 200
2025-06-21 12:08:09 | INFO | app.main:log_requests:143 | PUT /api/v1/transactions/99
2025-06-21 12:08:09 | ERROR | app.main:http_exception_handler:87 | HTTP Exception: 404 - Transaction not found
2025-06-21 12:08:09 | INFO | app.main:log_requests:145 | PUT /api/v1/transactions/99 - 404
